age,d13c,d18o
24.699,0.809,1.289
24.702,0.649,1.359
24.704,0.692,1.463
24.705,0.761,1.170
24.707,0.609,1.574
24.708,0.614,1.310
24.710,0.612,1.554
24.712,0.580,1.278
24.713,0.632,1.428
24.716,0.533,1.322
24.718,0.748,1.408
24.720,0.668,1.431
24.722,0.690,1.374
24.723,0.688,1.366
24.725,0.681,1.591
24.730,0.718,1.570
24.737,0.669,1.461
24.742,0.643,1.398
24.747,0.726,1.494
24.749,0.553,1.085
24.752,0.547,1.514
24.753,0.703,1.279
24.755,0.657,1.161
24.757,0.438,1.175
24.758,0.436,1.248
24.763,0.631,1.360
24.765,,1.598
24.769,0.642,1.468
24.780,0.710,1.379
24.790,0.480,1.358
24.798,0.532,1.606
24.801,0.407,1.565
24.804,0.458,1.671
24.810,0.816,1.750
24.812,0.600,1.880
24.820,0.788,1.502
24.828,0.660,1.507
24.830,0.643,1.579
24.836,0.711,1.358
24.841,0.759,1.368
24.844,0.640,1.293
24.847,0.423,1.472
24.849,0.629,1.372
24.852,0.642,1.525
24.855,0.547,1.505
24.857,0.550,1.536
24.857,0.487,1.568
24.860,0.602,1.432
24.863,0.464,1.401
24.871,0.506,1.322
24.875,0.597,1.450
24.878,0.545,1.261
24.881,0.602,1.360
24.883,0.537,1.286
24.887,0.460,1.288
24.890,0.441,1.415
24.893,0.992,1.516
24.896,0.420,1.355
24.896,0.510,
24.902,0.636,1.467
24.912,0.268,1.226
24.923,0.973,1.860
24.930,0.820,1.529
24.933,0.651,1.442
24.935,0.660,1.298
24.937,0.762,1.671
24.944,0.729,1.649
24.950,0.395,1.573
24.951,0.376,1.802
24.952,0.502,1.863
24.953,0.630,1.817
24.955,0.333,1.591
24.961,0.336,1.547
24.963,0.500,1.781
24.967,0.337,1.446
24.972,0.512,1.404
24.979,0.310,1.260
24.985,0.380,1.361
24.988,0.241,1.312
24.990,0.332,1.573
24.991,,1.610
24.992,0.494,1.451
24.999,0.263,1.323
25.004,0.447,1.427
25.005,0.335,1.512
25.008,0.517,1.406
25.013,0.724,1.518
25.020,0.444,1.536
25.026,0.609,1.661
25.033,0.567,1.578
25.035,0.460,1.770
25.037,0.676,1.576
25.043,0.824,1.565
25.050,0.668,1.520
25.053,0.726,1.235
25.055,1.017,1.686
25.061,0.672,1.342
25.062,0.609,1.443
25.066,0.879,1.503
25.073,0.394,1.416
25.078,0.633,1.467
25.081,0.491,1.601
25.081,0.529,1.492
25.082,0.364,1.433
25.087,0.846,1.668
25.093,0.343,1.512
25.096,0.663,1.374
25.101,0.679,1.602
25.102,0.319,1.489
25.104,0.508,1.555
25.106,0.556,1.567
25.108,0.654,1.564
25.110,0.491,1.584
25.112,0.478,1.467
25.114,0.450,1.686
25.115,0.774,1.890
25.117,0.525,1.648
25.119,0.619,1.686
25.120,0.540,1.750
25.124,0.861,1.679
25.131,0.823,1.688
25.136,0.426,1.746
25.140,0.809,1.612
25.141,0.757,1.631
25.143,0.727,1.664
25.145,0.515,1.690
25.147,0.659,1.608
25.151,0.246,1.369
25.156,0.754,1.548
25.159,0.417,1.557
25.160,0.537,1.420
25.162,0.592,1.621
25.166,0.723,1.549
25.172,0.408,1.172
25.177,-0.128,1.701
25.183,0.528,1.365
25.186,0.443,1.403
25.188,0.522,1.286
25.190,0.792,1.613
25.191,0.444,1.258
25.193,0.474,1.229
25.196,0.867,1.535
25.197,0.402,1.325
25.198,0.540,1.600
25.201,0.737,1.525
25.206,0.837,1.729
25.212,0.512,1.413
25.217,0.783,1.567
25.220,0.591,1.239
25.222,0.704,1.402
25.226,0.772,1.607
25.229,0.659,1.479
25.230,0.510,1.500
25.231,0.547,1.496
25.233,0.576,1.580
25.235,0.567,1.510
25.235,0.669,1.800
25.236,0.501,1.463
25.238,0.554,1.486
25.241,0.421,1.355
25.247,0.415,1.343
25.253,0.661,1.494
25.260,0.617,1.408
25.266,0.206,1.202
25.274,0.559,1.333
25.280,0.389,1.318
25.286,0.098,0.873
25.286,0.290,1.590
25.288,0.500,1.517
25.294,0.604,1.508
25.302,0.582,1.484
25.304,0.518,1.302
25.306,0.483,1.326
25.307,0.696,1.653
25.310,0.285,1.425
25.311,0.167,1.270
25.314,0.541,1.384
25.319,0.640,1.526
25.326,0.697,1.465
25.331,0.213,1.482
25.332,0.600,1.750
25.334,0.347,1.525
25.337,0.569,1.404
25.340,0.300,1.283
25.343,0.628,1.483
25.350,0.481,1.292
25.354,0.298,1.259
25.356,0.320,1.303
25.361,0.291,1.261
25.365,0.349,1.348
25.369,0.509,1.544
25.369,0.026,
25.370,0.519,1.544
25.376,0.382,1.367
25.380,0.409,1.257
25.387,0.544,1.352
25.393,0.595,1.413
25.400,0.584,1.471
25.405,0.038,1.427
25.411,0.802,1.540
25.419,0.415,1.441
25.420,0.450,1.540
25.427,0.525,1.417
25.432,0.777,1.518
25.439,0.543,1.552
25.446,0.544,1.294
25.448,0.314,1.296
25.452,0.795,1.482
25.456,0.738,1.550
25.464,0.685,1.565
25.468,0.596,1.345
25.471,0.529,1.608
25.477,0.376,1.274
25.481,0.662,1.499
25.485,0.783,1.678
25.487,0.687,1.908
25.491,0.636,1.581
25.499,0.919,1.724
25.506,0.685,1.695
25.509,0.983,1.531
25.512,0.675,1.982
25.514,0.728,1.535
25.516,0.722,1.446
25.516,0.803,1.685
25.521,0.912,1.770
25.521,0.682,1.893
25.528,0.792,1.688
25.528,0.912,1.714
25.534,0.835,1.622
25.534,0.692,1.647
25.535,0.690,1.680
25.539,0.789,1.710
25.539,0.790,1.731
25.549,0.895,1.844
25.556,0.988,1.673
25.562,0.380,1.724
25.567,0.656,1.632
25.575,0.908,1.734
25.583,1.014,1.710
25.586,0.982,1.540
25.588,0.948,1.511
25.592,0.914,1.696
25.592,0.760,1.630
25.599,0.983,1.865
