/* DATA DESCRIPTION:
Citation:	Beddow, HM et al. (2016): Isotope ratios versus age in composite core 320-U1134. doi:10.1594/PANGAEA.858328, 
	In Supplement to: Beddow, Helen M; Liebrand, Diederik; Sluijs, Appy; Wade, Bridget S; Lourens, Lucas Joost (2016): Global change across the Oligocene-Miocene transition: High-resolution stable isotope records from IODP Site U1334 (equatorial Pacific Ocean). Paleoceanography, 31(1), 81-97, doi:10.1002/2015PA002820
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 7.999000 * LONGITUDE: -131.973000
	MINIMUM ELEVATION: -4799.9 m * MAXIMUM ELEVATION: -4799.9 m
Event(s):	320-U1334 * LATITUDE: 7.999000 * LONGITUDE: -131.973000 * ELEVATION: -4799.9 m * CAMPAIGN: Exp320 (Pacific Equatorial Age Transect I) (URI: doi:10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Beddow, Helen M
	AGE [ka BP] (Age) * GEOCODE * PI: Beddow, Helen M
	delta 13C [per mil PDB] (d13C) * PI: Beddow, Helen M
	delta 18O [per mil] (d18O) * PI: Beddow, Helen M * METHOD: predicted
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	1842 data points
*/
Depth corr cr [crmcd]	Age [ka BP]	d13C [per mil PDB]	d18O [per mil]
110.745	23413.122	1.20	1.68
110.785	23415.702	1.14	1.64
110.825	23418.282	1.12	1.66
110.865	23420.863	0.78	1.49
110.905	23423.444	1.02	1.71
110.945	23426.027	1.25	1.65
110.985	23428.611	1.01	1.61
111.145	23438.954	1.24	1.78
111.185	23441.543	0.91	1.69
111.225	23444.132	1.11	1.52
111.305	23449.313	0.95	1.63
111.385	23454.498	0.80	1.57
111.425	23457.092	0.90	1.62
111.505	23462.283	0.96	1.69
111.545	23464.880	0.87	1.63
111.585	23467.478	1.04	1.70
111.625	23470.078	0.96	1.66
111.665	23472.678	0.99	1.55
111.705	23475.279	0.90	1.62
111.745	23477.881	0.90	1.65
112.225	23509.193	0.98	1.72
112.265	23511.810	1.00	1.72
112.305	23514.428	1.08	1.74
112.345	23517.047	1.05	1.76
112.385	23519.667	0.99	1.69
112.425	23522.289	1.12	1.75
112.465	23524.912	1.04	1.65
112.545	23530.160	1.16	1.56
112.625	23535.414	1.04	1.53
112.665	23538.043	1.23	1.78
112.705	23540.673	0.98	1.40
112.745	23543.304	1.12	1.48
112.785	23545.937	1.17	1.65
112.825	23548.571	1.00	1.52
112.865	23551.206	1.06	1.81
112.905	23553.843	0.56	1.37
112.945	23556.480	1.00	1.49
112.985	23559.119	0.92	1.67
113.025	23561.760	1.03	1.73
113.065	23564.401	0.80	1.64
113.105	23567.044	1.03	1.54
113.145	23569.689	0.81	1.66
113.185	23572.335	0.94	1.71
113.225	23574.982	1.12	1.79
113.265	23577.630	1.03	1.59
113.305	23580.280	0.99	1.65
113.325	23581.605	1.16	1.58
113.345	23582.931	1.00	1.54
113.385	23585.584	1.01	1.29
113.425	23588.238	0.63	1.39
113.465	23590.893	0.93	1.64
113.505	23593.550	1.07	1.57
113.545	23596.208	0.79	1.61
113.585	23598.868	0.91	1.74
113.625	23601.529	0.99	1.71
113.665	23604.192	0.92	1.80
113.705	23606.856	0.80	1.69
113.745	23609.521	0.94	1.81
113.785	23612.188	1.12	1.55
113.825	23614.857	0.87	1.65
113.905	23620.198	0.81	1.86
113.945	23622.871	0.69	1.90
113.985	23625.546	0.85	1.79
114.025	23628.222	0.71	1.78
114.065	23630.899	0.78	1.56
114.105	23633.579	0.88	1.54
114.145	23636.259	0.83	1.58
114.185	23638.941	0.98	1.51
114.225	23641.625	0.81	1.52
114.265	23644.311	0.90	1.39
114.305	23646.998	1.11	1.40
114.385	23652.376	0.75	1.55
114.465	23657.761	0.86	1.63
114.505	23660.456	0.57	1.63
114.545	23663.153	0.87	1.69
114.585	23665.851	0.85	1.72
114.625	23668.551	0.79	1.83
114.665	23671.253	0.81	1.81
114.705	23673.956	0.80	1.52
114.745	23676.661	0.97	1.36
114.825	23682.076	0.94	1.46
114.865	23684.786	0.95	1.59
114.925	23688.854	0.68	1.87
114.945	23690.211	0.56	1.51
114.985	23692.926	0.59	1.48
115.025	23695.643	0.67	1.58
115.065	23698.361	0.78	1.61
115.105	23701.082	0.71	1.83
115.145	23703.804	0.50	1.53
115.185	23706.528	0.59	1.55
115.225	23709.253	0.52	1.49
115.265	23711.981	0.70	1.56
115.345	23717.441	0.46	1.34
115.385	23720.174	0.65	1.46
115.425	23722.908	0.58	1.54
115.455	23724.961	0.83	1.60
115.615	23735.923	0.81	1.64
115.655	23738.668	0.54	1.48
115.695	23741.415	0.60	1.51
115.735	23744.164	0.79	1.52
115.775	23746.915	0.78	1.49
115.815	23749.668	0.62	1.11
115.855	23752.422	0.62	1.11
115.895	23755.179	0.58	1.24
115.935	23757.938	0.76	1.64
115.975	23760.698	0.50	1.39
116.015	23763.460	0.98	1.61
116.055	23766.225	0.59	1.45
116.095	23768.991	0.67	1.60
116.135	23771.759	0.86	1.71
116.175	23774.529	0.60	1.52
116.215	23777.301	0.62	1.46
116.255	23780.076	0.61	1.38
116.335	23785.630	0.27	1.77
116.375	23788.410	0.64	1.40
116.415	23791.192	0.69	1.48
116.455	23793.976	0.61	1.33
116.495	23796.763	0.85	1.52
116.535	23799.551	0.85	1.34
116.615	23805.133	0.77	1.47
116.895	23824.739	0.77	1.52
117.015	23833.172	0.85	1.52
117.055	23835.988	0.60	1.52
117.175	23844.448	0.87	1.42
117.215	23847.272	0.92	1.44
117.255	23850.099	0.79	1.49
117.295	23852.927	0.68	1.39
117.375	23858.591	0.81	1.51
117.415	23861.426	0.76	1.54
117.455	23864.264	0.84	1.68
117.495	23867.104	0.83	1.50
117.535	23869.946	0.76	1.68
117.615	23875.637	0.56	1.25
117.655	23878.486	0.87	1.87
117.695	23881.337	0.92	1.59
117.735	23884.190	0.85	1.52
117.775	23887.046	0.57	1.42
117.855	23892.764	0.81	1.60
117.935	23898.492	0.90	1.56
117.975	23901.359	0.78	1.70
118.015	23904.229	0.71	1.72
118.055	23907.101	0.62	1.74
118.095	23909.975	0.76	1.49
118.135	23912.852	0.66	1.55
118.175	23915.731	0.66	1.83
118.215	23918.613	0.73	1.61
118.255	23921.497	0.76	1.62
118.295	23924.383	0.80	1.59
118.335	23927.272	0.78	1.51
118.375	23930.163	0.84	1.61
118.415	23933.057	0.74	1.52
118.495	23938.851	0.62	1.40
118.535	23941.752	0.67	1.47
118.575	23944.656	0.82	1.37
118.615	23947.561	0.54	1.44
118.655	23950.470	0.59	1.49
118.695	23953.381	0.59	1.50
118.735	23956.294	0.65	1.66
118.775	23959.210	0.59	1.47
118.815	23962.128	0.70	1.53
118.895	23967.973	0.59	1.46
118.975	23973.827	0.52	1.49
119.015	23976.758	0.62	1.44
119.055	23979.692	0.57	1.47
119.095	23982.628	0.54	1.64
119.135	23985.567	0.50	1.53
119.215	23991.452	0.54	1.56
119.255	23994.399	0.69	1.78
119.295	23997.348	0.65	1.71
119.335	24000.300	0.63	1.61
119.375	24003.254	0.65	1.52
119.415	24006.211	0.65	1.50
119.455	24009.171	0.64	1.40
119.495	24012.134	0.57	1.39
119.575	24018.066	0.59	1.36
119.615	24021.037	0.73	1.44
119.655	24024.010	0.65	1.50
119.695	24026.986	0.62	1.58
119.735	24029.964	0.65	1.45
119.775	24032.945	0.53	1.55
119.795	24034.437	0.61	1.38
119.815	24035.929	0.50	1.47
119.855	24038.916	0.57	1.48
119.895	24041.905	0.40	1.53
119.975	24047.892	0.12	1.29
120.015	24050.890	0.54	1.57
120.095	24056.893	0.68	1.55
120.135	24059.899	0.49	1.43
120.175	24062.908	0.36	1.23
120.215	24065.920	0.46	1.35
120.255	24068.934	0.79	1.63
120.375	24077.994	0.50	1.45
120.495	24087.080	0.53	1.67
120.535	24090.114	0.69	1.60
120.575	24093.151	0.76	1.54
120.615	24096.192	0.56	1.59
120.735	24105.329	0.73	1.71
120.775	24108.381	0.66	1.66
120.815	24111.435	0.65	1.65
120.855	24114.493	0.64	1.53
120.895	24117.553	0.80	1.59
120.935	24120.617	0.56	1.46
120.975	24123.683	0.64	1.42
121.015	24126.753	0.73	1.50
121.055	24129.825	0.75	1.61
121.095	24132.900	0.74	1.51
121.135	24135.979	0.65	1.41
121.215	24142.144	0.69	1.30
121.255	24145.232	0.50	1.44
