"age","d18o","auth"
13709.9,2.261,"Tian"
13712,2.213,"Tian"
13714.1,2.173,"Tian"
13716.2,2.209,"Tian"
13718.3,2.265,"Tian"
13720.4,2.176,"Tian"
13722.5,2.128,"Tian"
13724.6,2.186,"Tian"
13728.8,2.058,"Tian"
13730.9,2.063,"Tian"
13732.9,2.192,"Tian"
13735,1.925,"Tian"
13737.1,2.075,"Tian"
13739.2,1.908,"Tian"
13740.8,1.939,"Tian"
13742.9,2.009,"Tian"
13745,1.9,"Tian"
13749.9,2.052,"Tian"
13752.3,1.963,"Tian"
13757.2,1.98,"Tian"
13759.6,2.087,"Tian"
13762.1,2.217,"Tian"
13764.5,2.06,"Tian"
13767,2.109,"Tian"
13769.4,2.218,"Tian"
13774.3,2.145,"Tian"
13776.7,2.137,"Tian"
13781.6,2.172,"Tian"
13784,2.087,"Tian"
13785.8,2.103,"Tian"
13788.3,2.01,"Tian"
13791.2,1.966,"Tian"
13795.4,2.213,"Tian"
13803.7,2.137,"Tian"
13807.8,2.084,"Tian"
13816.1,2.071,"Tian"
13820.2,1.975,"Tian"
13824.4,2.032,"Tian"
13826.7,1.975,"Tian"
13827.9,2.117,"Tian"
13829.7,2.054,"Tian"
13832.8,2.11,"Tian"
13835.8,2.173,"Tian"
13841.8,2.061,"Tian"
13844.8,1.983,"Tian"
13848.9,1.99,"Tian"
13851.9,1.83,"Tian"
13855,2.003,"Tian"
13858,1.994,"Tian"
13861,1.945,"Tian"
13864,1.84,"Tian"
13867,1.602,"Tian"
13870.5,1.984,"Tian"
13874,1.686,"Tian"
13877.4,1.802,"Tian"
13880.9,1.823,"Tian"
13884.4,1.755,"Tian"
13887.9,1.659,"Tian"
13898.3,1.696,"Tian"
13901.8,1.587,"Tian"
13905.3,1.844,"Tian"
13908.8,1.173,"Tian"
13912.5,1.527,"Tian"
13917.3,1.374,"Tian"
13922.2,1.566,"Tian"
13927,1.73,"Tian"
13931.9,1.873,"Tian"
13936.7,1.853,"Tian"
13941.6,1.829,"Tian"
13946.5,1.725,"Tian"
13952.7,1.767,"Tian"
13959.3,1.701,"Tian"
13965.9,1.697,"Tian"
13972.5,1.476,"Tian"
13979.1,1.519,"Tian"
13985.7,1.396,"Tian"
13992.1,1.283,"Tian"
13996.4,1.542,"Tian"
14005,1.358,"Tian"
14009.3,1.658,"Tian"
14012.6,1.457,"Tian"
14016.9,1.415,"Tian"
14021.2,1.574,"Tian"
14022.8,1.396,"Tian"
14028.2,1.331,"Tian"
14031.9,1.697,"Tian"
14035.6,1.588,"Tian"
14043,1.717,"Tian"
14046.7,1.613,"Tian"
14050.5,1.569,"Tian"
14054.2,1.528,"Tian"
14057.9,1.525,"Tian"
14061.6,1.502,"Tian"
14069,1.247,"Tian"
14075,1.479,"Tian"
14081,1.909,"Tian"
14093.1,1.528,"Tian"
14105.1,1.53,"Tian"
14111.2,1.329,"Tian"
14115.9,1.537,"Tian"
14125.4,1.147,"Tian"
14130.1,1.112,"Tian"
14134.9,1.294,"Tian"
14144.3,1.182,"Tian"
14149.8,1.122,"Tian"
14159,1.394,"Tian"
14177.5,1.902,"Tian"
14186.7,1.371,"Tian"
14192.3,1.492,"Tian"
14197.4,1.586,"Tian"
14202.4,1.796,"Tian"
14207.5,1.45,"Tian"
14212.6,1.385,"Tian"
14217.7,1.304,"Tian"
14222.7,1.128,"Tian"
14227.8,1.111,"Tian"
14231.5,1.24,"Tian"
14235,1.481,"Tian"
14238.6,1.585,"Tian"
14242.1,1.516,"Tian"
14245,1.644,"Tian"
14247.8,1.673,"Tian"
14250.6,1.394,"Tian"
14253.5,1.471,"Tian"
14256.3,1.752,"Tian"
14259.2,1.679,"Tian"
14262.4,1.777,"Tian"
14265.2,1.761,"Tian"
14268,1.312,"Tian"
14272,1.349,"Tian"
14276.1,1.615,"Tian"
14280.3,1.59,"Tian"
14284.5,1.435,"Tian"
14288.7,1.621,"Tian"
14292.8,1.703,"Tian"
14297,1.72,"Tian"
14301.2,1.195,"Tian"
14305.3,1.394,"Tian"
14309.5,1.186,"Tian"
14312.8,1.345,"Tian"
14316,1.55,"Tian"
14319.2,1.521,"Tian"
14322.4,1.58,"Tian"
14325.7,1.507,"Tian"
14328.9,1.42,"Tian"
14331.3,1.71,"Tian"
14334.5,1.481,"Tian"
14337.7,1.451,"Tian"
14341,1.458,"Tian"
14344.2,1.34,"Tian"
14347.4,1.109,"Tian"
14353,1.259,"Tian"
14358.7,1.144,"Tian"
14364.4,1.396,"Tian"
14370.2,1.795,"Tian"
14375.9,1.699,"Tian"
14381.6,1.557,"Tian"
14387.3,1.263,"Tian"
14390.5,1.355,"Tian"
14393.8,1.395,"Tian"
14397,1.498,"Tian"
14400.2,1.671,"Tian"
14403.5,1.485,"Tian"
14406.7,1.809,"Tian"
14409.2,1.611,"Tian"
14412.4,1.693,"Tian"
14415.6,1.544,"Tian"
14422.1,1.503,"Tian"
14428.6,1.286,"Tian"
14431.5,1.514,"Tian"
14434.3,1.309,"Tian"
14437.2,1.214,"Tian"
14440.1,1.191,"Tian"
14443,1.173,"Tian"
14445.9,1.524,"Tian"
14451.6,1.622,"Tian"
14454.5,1.708,"Tian"
14457.4,1.469,"Tian"
14460.3,1.473,"Tian"
14463.2,1.413,"Tian"
14465.3,1.379,"Tian"
14468.4,1.339,"Tian"
14473.1,1.539,"Tian"
14477.7,1.528,"Tian"
14482.4,1.553,"Tian"
14487,1.794,"Tian"
14491.7,1.868,"Tian"
14506.9,1.875,"Tian"
14513.6,1.98,"Tian"
14520.2,1.892,"Tian"
14526.9,1.826,"Tian"
14533.5,1.765,"Tian"
14540.2,1.744,"Tian"
14546.9,1.381,"Tian"
14550.4,1.579,"Tian"
14553.8,1.719,"Tian"
14557.2,1.833,"Tian"
14560.7,1.775,"Tian"
14564.1,1.764,"Tian"
14567.6,1.529,"Tian"
14571,1.696,"Tian"
14574.5,1.64,"Tian"
14577.9,1.674,"Tian"
14581.4,1.475,"Tian"
14584.8,1.508,"Tian"
14588.3,1.385,"Tian"
14592.4,1.446,"Tian"
14596.6,1.543,"Tian"
14600.8,1.369,"Tian"
14605,1.815,"Tian"
14609.1,1.998,"Tian"
14613.3,1.834,"Tian"
14617.5,1.823,"Tian"
14621.7,1.893,"Tian"
14625.8,1.455,"Tian"
14634,1.573,"Tian"
14642.4,1.498,"Tian"
14650.8,1.777,"Tian"
14659.2,1.501,"Tian"
14667.4,1.347,"Tian"
14672,1.412,"Tian"
14676.6,1.364,"Tian"
14677.5,1.635,"Tian"
14681.1,1.587,"Tian"
14684.8,1.629,"Tian"
14688.4,1.659,"Tian"
14692.1,1.585,"Tian"
14695.7,1.586,"Tian"
14699.4,1.353,"Tian"
14703,1.468,"Tian"
14706.7,1.101,"Tian"
14710.2,1.277,"Tian"
14713.8,1.392,"Tian"
14717.3,1.451,"Tian"
14720.8,1.496,"Tian"
14724.4,1.758,"Tian"
14727.9,1.703,"Tian"
14837,1.559,"Holbourn"
14842,1.645,"Holbourn"
14847,1.728,"Holbourn"
14852,1.462,"Holbourn"
14856,1.566,"Holbourn"
14861,1.543,"Holbourn"
14866,1.404,"Holbourn"
14871,1.255,"Holbourn"
14876,1.129,"Holbourn"
14881,1.308,"Holbourn"
14886,1.34,"Holbourn"
14891,1.517,"Holbourn"
14895,1.462,"Holbourn"
14900,1.382,"Holbourn"
14905,1.296,"Holbourn"
14910,1.169,"Holbourn"
14915,1.293,"Holbourn"
14920,1.575,"Holbourn"
14925,1.2,"Holbourn"
14930,1.351,"Holbourn"
14934,1.366,"Holbourn"
14939,1.037,"Holbourn"
14944,1.511,"Holbourn"
14949,0.937,"Holbourn"
14954,1.146,"Holbourn"
14959,1.668,"Holbourn"
14964,1.437,"Holbourn"
14968,1.413,"Holbourn"
14973,1.46,"Holbourn"
14978,1.24,"Holbourn"
14983,1.118,"Holbourn"
14988,1.495,"Holbourn"
14993,1.628,"Holbourn"
14998,1.614,"Holbourn"
15003,1.473,"Holbourn"
15007,1.404,"Holbourn"
15012,1.213,"Holbourn"
15017,1.45,"Holbourn"
15022,1.733,"Holbourn"
15027,1.227,"Holbourn"
15032,1.321,"Holbourn"
15037,1.642,"Holbourn"
15042,1.234,"Holbourn"
15046,1.287,"Holbourn"
15051,1.501,"Holbourn"
15056,1.538,"Holbourn"
15061,1.489,"Holbourn"
15066,1.272,"Holbourn"
15071,1.193,"Holbourn"
15077,1.088,"Holbourn"
15081,1.049,"Holbourn"
15087,1.27,"Holbourn"
15093,1.501,"Holbourn"
15100,1.424,"Holbourn"
15106,1.312,"Holbourn"
15113,1.343,"Holbourn"
15119,1.125,"Holbourn"
15125,1.553,"Holbourn"
15131,1.638,"Holbourn"
15138,1.521,"Holbourn"
15144,1.417,"Holbourn"
15150,1.214,"Holbourn"
15156,1.289,"Holbourn"
15162,1.64,"Holbourn"
15169,1.516,"Holbourn"
15175,1.344,"Holbourn"
15181,1.086,"Holbourn"
15187,1.113,"Holbourn"
15193,0.76,"Holbourn"
15198,1.138,"Holbourn"
15204,1.329,"Holbourn"
15208,1.08,"Holbourn"
15214,1.216,"Holbourn"
15219,1.081,"Holbourn"
15224,1.214,"Holbourn"
15229,1.268,"Holbourn"
15233,1.049,"Holbourn"
15240,1.175,"Holbourn"
15247,1.518,"Holbourn"
15254,1.85,"Holbourn"
15261,1.718,"Holbourn"
15268,1.326,"Holbourn"
15275,1.586,"Holbourn"
15279,1.39,"Holbourn"
15286,1.1,"Holbourn"
15290,1.11,"Holbourn"
15294,1.48,"Holbourn"
15298,1.53,"Holbourn"
15302,1.43,"Holbourn"
15306,1.38,"Holbourn"
15309,1.37,"Holbourn"
15313,1.44,"Holbourn"
15317,1.68,"Holbourn"
15321,1.23,"Holbourn"
15325,1.06,"Holbourn"
15332,1.4,"Holbourn"
15336,1.76,"Holbourn"
15339,1.69,"Holbourn"
15343,1.3,"Holbourn"
15346,1.27,"Holbourn"
15350,1.22,"Holbourn"
15353,1.66,"Holbourn"
15357,1.41,"Holbourn"
15360,1.12,"Holbourn"
15364,1.55,"Holbourn"
15367,1.11,"Holbourn"
15371,1.63,"Holbourn"
15374,1.66,"Holbourn"
15378,1.56,"Holbourn"
15381,1.52,"Holbourn"
15385,1.49,"Holbourn"
15388,1.33,"Holbourn"
15392,1.19,"Holbourn"
15395,1.16,"Holbourn"
15399,1.11,"Holbourn"
15402,1.04,"Holbourn"
15405,1.23,"Holbourn"
15408,1.47,"Holbourn"
15411,1.28,"Holbourn"
15412,1.502,"Holbourn"
15415,1.556,"Holbourn"
15418,1.531,"Holbourn"
15433,1.843,"Holbourn"
15436,1.871,"Holbourn"
15439,1.884,"Holbourn"
15442,1.745,"Holbourn"
15445,1.806,"Holbourn"
15448,1.624,"Holbourn"
15451,1.278,"Holbourn"
15454,1.478,"Holbourn"
15457,1.229,"Holbourn"
15460,1.189,"Holbourn"
15462,1.058,"Holbourn"
15465,1.255,"Holbourn"
15468,1.876,"Holbourn"
15471,1.521,"Holbourn"
15474,1.291,"Holbourn"
15477,1.187,"Holbourn"
15481,1.205,"Holbourn"
15485,1.163,"Holbourn"
15489,1.005,"Holbourn"
15493,0.962,"Holbourn"
15496,1.705,"Holbourn"
15501,1.536,"Holbourn"
15506,1.672,"Holbourn"
15510,1.511,"Holbourn"
15514,1.297,"Holbourn"
15518,1.449,"Holbourn"
15522,1.469,"Holbourn"
15526,1.538,"Holbourn"
15530,1.562,"Holbourn"
15535,1.589,"Holbourn"
15539,1.659,"Holbourn"
15543,1.589,"Holbourn"
15547,1.493,"Holbourn"
15549,1.589,"Holbourn"
15553,1.837,"Holbourn"
15557,1.466,"Holbourn"
15562,1.185,"Holbourn"
15566,0.651,"Holbourn"
15570,0.543,"Holbourn"
15572,0.776,"Holbourn"
15575,1.203,"Holbourn"
15578,0.662,"Holbourn"
15581,0.551,"Holbourn"
15584,0.559,"Holbourn"
15587,0.909,"Holbourn"
15590,0.816,"Holbourn"
15593,0.386,"Holbourn"
15597,0.515,"Holbourn"
15598,0.76,"Holbourn"
15603,0.49,"Holbourn"
15608,1.07,"Holbourn"
15613,1.41,"Holbourn"
15617,1.73,"Holbourn"
15622,1.68,"Holbourn"
15627,1.72,"Holbourn"
15632,1.7,"Holbourn"
15637,1.77,"Holbourn"
15642,1.75,"Holbourn"
15647,1.75,"Holbourn"
15652,1.76,"Holbourn"
15657,1.72,"Holbourn"
15661,1.66,"Holbourn"
15666,1.37,"Holbourn"
15671,1.37,"Holbourn"
15676,1.5,"Holbourn"
15681,1.63,"Holbourn"
15686,1.7,"Holbourn"
15691,1.22,"Holbourn"
15696,1.39,"Holbourn"
15700,1.39,"Holbourn"
15705,1.16,"Holbourn"
15710,1.07,"Holbourn"
15715,1.45,"Holbourn"
15720,1.22,"Holbourn"
15726,1.33,"Holbourn"
15733,1.74,"Holbourn"
15740,1.64,"Holbourn"
15747,1.51,"Holbourn"
15753,1.58,"Holbourn"
15760,1.76,"Holbourn"
15767,1.62,"Holbourn"
