"age","d13c","auth"
13447.4,1.011,"Tian"
13449.5,1.207,"Tian"
13451.6,1.146,"Tian"
13453.6,1.197,"Tian"
13456,0.951,"Tian"
13460.1,1.214,"Tian"
13463.2,0.908,"Tian"
13467.3,1.134,"Tian"
13471.4,0.91,"Tian"
13475.5,0.975,"Tian"
13479.6,1.186,"Tian"
13487.8,1.02,"Tian"
13491.9,1.24,"Tian"
13495.9,1.088,"Tian"
13498.3,1.179,"Tian"
13500.7,0.889,"Tian"
13503.1,1.192,"Tian"
13505.4,1.077,"Tian"
13507.8,1.056,"Tian"
13510.2,0.965,"Tian"
13512.6,1.163,"Tian"
13515,1.169,"Tian"
13517.4,1.006,"Tian"
13519.7,1.031,"Tian"
13521.5,1.103,"Tian"
13523.9,1.148,"Tian"
13526.3,1.339,"Tian"
13528.7,1.219,"Tian"
13531.1,1.065,"Tian"
13533.4,0.994,"Tian"
13538.2,1.069,"Tian"
13541.6,1.379,"Tian"
13545.1,0.886,"Tian"
13548.6,0.943,"Tian"
13552.1,1.078,"Tian"
13555.6,1.224,"Tian"
13559.1,1.113,"Tian"
13562.7,1.241,"Tian"
13566.2,1.112,"Tian"
13569.7,1.221,"Tian"
13571.9,1.151,"Tian"
13573.2,1.162,"Tian"
13575.4,1.043,"Tian"
13576.7,0.929,"Tian"
13578.9,1.087,"Tian"
13579.3,0.813,"Tian"
13582.3,0.981,"Tian"
13582.6,1.042,"Tian"
13585,0.897,"Tian"
13585.3,1.192,"Tian"
13587.7,1.264,"Tian"
13588,1.191,"Tian"
13590.4,1.305,"Tian"
13590.7,1.182,"Tian"
13593.4,1.182,"Tian"
13593.4,1.246,"Tian"
13596.1,1.226,"Tian"
13596.1,1.27,"Tian"
13598.8,1.206,"Tian"
13598.8,0.863,"Tian"
13601.5,1.024,"Tian"
13601.5,1.33,"Tian"
13604.2,1.194,"Tian"
13604.2,0.908,"Tian"
13606.9,1.271,"Tian"
13606.9,0.909,"Tian"
13609.6,0.778,"Tian"
13609.6,1.116,"Tian"
13612.3,0.89,"Tian"
13612.3,0.979,"Tian"
13615,0.875,"Tian"
13617.7,0.991,"Tian"
13620.4,0.935,"Tian"
13623,0.947,"Tian"
13625.7,0.783,"Tian"
13628.3,0.86,"Tian"
13630.9,0.944,"Tian"
13633.6,0.971,"Tian"
13636.2,0.945,"Tian"
13638.8,0.872,"Tian"
13641.5,1.094,"Tian"
13643.4,1.022,"Tian"
13646.1,0.891,"Tian"
13648.7,1.205,"Tian"
13651.3,1.12,"Tian"
13654,1.052,"Tian"
13656.6,0.749,"Tian"
13659.1,0.56,"Tian"
13660.8,0.907,"Tian"
13662.6,1.233,"Tian"
13664.3,1.328,"Tian"
13666.1,1.304,"Tian"
13667.9,1.278,"Tian"
13669.6,1.453,"Tian"
13671.4,1.751,"Tian"
13673.2,1.505,"Tian"
13674.9,1.4,"Tian"
13676.7,1.335,"Tian"
13678.5,1.434,"Tian"
13682,1.34,"Tian"
13683.8,1.233,"Tian"
13685.5,1.338,"Tian"
13687.3,1.288,"Tian"
13689.1,1.108,"Tian"
13690.8,1.296,"Tian"
13692.6,1.431,"Tian"
13694.4,1.402,"Tian"
13696.1,1.233,"Tian"
13697.9,1.229,"Tian"
13699.6,1.273,"Tian"
13701.9,1.255,"Tian"
13703.6,1.297,"Tian"
13705.7,1.152,"Tian"
13707.8,1.506,"Tian"
13709.9,1.674,"Tian"
13712,1.705,"Tian"
13714.1,1.461,"Tian"
13716.2,1.671,"Tian"
13718.3,1.683,"Tian"
13720.4,1.59,"Tian"
13722.5,1.65,"Tian"
13724.6,1.73,"Tian"
13728.8,1.571,"Tian"
13730.9,1.685,"Tian"
13732.9,1.175,"Tian"
13735,1.585,"Tian"
13737.1,1.634,"Tian"
13739.2,1.624,"Tian"
13740.8,1.738,"Tian"
13742.9,1.74,"Tian"
13745,1.49,"Tian"
13749.9,1.596,"Tian"
13752.3,1.608,"Tian"
13757.2,1.665,"Tian"
13759.6,1.723,"Tian"
13762.1,1.496,"Tian"
13764.5,1.848,"Tian"
13767,1.76,"Tian"
13769.4,1.641,"Tian"
13774.3,1.741,"Tian"
13776.7,1.561,"Tian"
13781.6,1.588,"Tian"
13784,1.748,"Tian"
13785.8,1.638,"Tian"
13788.3,1.774,"Tian"
13791.2,1.473,"Tian"
13795.4,1.739,"Tian"
13803.7,1.714,"Tian"
13807.8,1.719,"Tian"
13816.1,1.423,"Tian"
13820.2,1.364,"Tian"
13824.4,1.396,"Tian"
13826.7,1.466,"Tian"
13827.9,1.499,"Tian"
13829.7,1.541,"Tian"
13832.8,1.503,"Tian"
13835.8,1.469,"Tian"
13841.8,1.403,"Tian"
13844.8,1.263,"Tian"
13848.9,1.507,"Tian"
13851.9,1.446,"Tian"
13855,1.523,"Tian"
13858,1.432,"Tian"
13861,1.385,"Tian"
13864,1.236,"Tian"
13867,1.199,"Tian"
13870.5,1.432,"Tian"
13874,1.236,"Tian"
13877.4,1.155,"Tian"
13880.9,1.233,"Tian"
13884.4,0.995,"Tian"
13887.9,1.11,"Tian"
13898.3,0.862,"Tian"
13901.8,1.343,"Tian"
13905.3,1.494,"Tian"
13908.8,1.056,"Tian"
13912.5,1.312,"Tian"
13917.3,1.152,"Tian"
13922.2,1.282,"Tian"
13927,1.121,"Tian"
13931.9,1.279,"Tian"
13936.7,1.119,"Tian"
13941.6,1.138,"Tian"
13946.5,1.125,"Tian"
13952.7,1.171,"Tian"
13959.3,1.169,"Tian"
13965.9,1.1,"Tian"
13972.5,1.136,"Tian"
13979.1,1.032,"Tian"
13985.7,0.565,"Tian"
13992.1,0.673,"Tian"
13996.4,1.009,"Tian"
14005,0.953,"Tian"
14009.3,1.281,"Tian"
14012.6,1.084,"Tian"
14016.9,1.106,"Tian"
14021.2,0.821,"Tian"
14022.8,1.332,"Tian"
14028.2,1.337,"Tian"
14031.9,1.271,"Tian"
14035.6,1.312,"Tian"
14043,1.357,"Tian"
14046.7,1.32,"Tian"
14050.5,0.901,"Tian"
14054.2,1.106,"Tian"
14057.9,0.966,"Tian"
14061.6,1.157,"Tian"
14069,1.162,"Tian"
14075,1.002,"Tian"
14081,1.184,"Tian"
14093.1,1.183,"Tian"
14105.1,1.19,"Tian"
14111.2,1.337,"Tian"
14115.9,1.337,"Tian"
14125.4,1.03,"Tian"
14130.1,1.131,"Tian"
