"depth","age","d13c","d18o","auth"
299.91,13288.7,0.935,1.905,"Tian"
299.99,13290.6,1.085,2.075,"Tian"
300.07,13292.5,0.909,1.833,"Tian"
300.15,13296.1,0.97,1.821,"Tian"
300.23,13299.7,0.749,1.893,"Tian"
300.31,13303.4,0.868,1.851,"Tian"
300.37,13306.1,0.942,2.094,"Tian"
300.45,13309.7,0.892,2.175,"Tian"
300.53,13313.3,0.908,2.023,"Tian"
300.61,13317,0.799,1.79,"Tian"
300.69,13320.6,1.026,1.841,"Tian"
300.77,13324.2,1.041,1.845,"Tian"
300.85,13327.9,0.886,1.843,"Tian"
300.93,13331.5,0.931,1.839,"Tian"
301.01,13335.1,0.734,1.516,"Tian"
301.09,13338.6,0.801,1.814,"Tian"
301.17,13342.1,0.664,1.699,"Tian"
301.25,13345.6,0.954,2.162,"Tian"
301.33,13349,0.956,2.035,"Tian"
301.41,13352.5,0.818,2.062,"Tian"
301.49,13356,0.977,2.09,"Tian"
301.57,13359.5,1.091,2.029,"Tian"
301.65,13363,1.111,1.919,"Tian"
301.73,13366.4,1.176,2.047,"Tian"
301.81,13369.9,1.17,2.069,"Tian"
301.87,13372.5,0.911,2.028,"Tian"
301.95,13375.9,0.898,1.829,"Tian"
302.03,13378.9,1.083,2.145,"Tian"
302.11,13381.8,1.03,2.05,"Tian"
302.19,13384.8,1.015,2.152,"Tian"
302.27,13387.8,1.056,2.132,"Tian"
302.35,13390.7,1.216,2.307,"Tian"
302.43,13393.7,1.153,2.293,"Tian"
302.51,13396.7,1.07,2.213,"Tian"
302.59,13399.6,1.102,2.103,"Tian"
302.67,13402.6,1.177,2.259,"Tian"
302.75,13405.5,1.014,2.098,"Tian"
302.83,13408.5,0.887,2.106,"Tian"
302.91,13411.5,1.032,2.042,"Tian"
302.99,13414.4,0.898,2.011,"Tian"
303.07,13417.4,0.873,1.914,"Tian"
303.15,13419.5,1.025,2.174,"Tian"
303.23,13421.5,0.95,1.968,"Tian"
303.31,13423.6,0.961,2.103,"Tian"
303.37,13425.2,1.027,2.163,"Tian"
303.51,13428.8,1.044,2.041,"Tian"
303.59,13430.9,1.029,1.953,"Tian"
303.67,13432.9,0.94,2.185,"Tian"
303.75,13435,0.9,1.91,"Tian"
303.83,13437.1,1.032,2.012,"Tian"
303.91,13439.1,0.999,2.107,"Tian"
303.99,13441.2,1.099,2.157,"Tian"
304.07,13443.3,1.096,2.052,"Tian"
304.15,13445.4,0.83,2.184,"Tian"
304.23,13447.4,1.011,1.87,"Tian"
304.31,13449.5,1.207,2.069,"Tian"
304.39,13451.6,1.146,1.945,"Tian"
304.47,13453.6,1.197,1.888,"Tian"
